0.1
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;0.0166667;1.58746;1.979;-0.0166667;0.0166667;-0.0166659;0.0166659
2;-1.5708;-0.760398;0.810398;1.95887;-0.793731;-0.760398;-0.712975;-0.68921
3;-1.5708;-1.14893;0.421866;1.92099;-1.18226;-1.14893;-0.925466;-0.912327
4;-1.5708;-1.3432;0.2276;1.85354;-1.37653;-1.3432;-0.98119;-0.974211
5;-1.5708;-1.44033;0.130466;1.74451;-1.47366;-1.44033;-0.995286;-0.991501
6;-1.5708;-1.4889;0.0818999;1.593;-1.52223;-1.4889;-0.998821;-0.996648

0.01
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;0.00166667;1.57246;1.99788;-0.00166667;0.00166667;-0.00166667;0.00166667
2;-1.5708;-0.782898;0.787898;1.99577;-0.786231;-0.782898;-0.707696;-0.705337
3;-1.5708;-1.17518;0.395616;1.99157;-1.17851;-1.17518;-0.924039;-0.922759
4;-1.5708;-1.37132;0.199475;1.98329;-1.37466;-1.37132;-0.980826;-0.980171
5;-1.5708;-1.46939;0.101404;1.96713;-1.47273;-1.46939;-0.995195;-0.994863
6;-1.5708;-1.51843;0.0523686;1.93635;-1.52176;-1.51843;-0.998798;-0.998629
7;-1.5708;-1.54295;0.027851;1.88032;-1.54628;-1.54295;-0.999699;-0.999612
8;-1.5708;-1.5552;0.0155922;1.78622;-1.55854;-1.5552;-0.999925;-0.999878
9;-1.5708;-1.56133;0.00946275;1.64774;-1.56467;-1.56133;-0.999981;-0.999955

0.001
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;0.000166667;1.57096;1.99979;-0.000166667;0.000166667;-0.000166667;0.000166667
2;-1.5708;-0.785148;0.785648;1.99958;-0.785481;-0.785148;-0.707166;-0.70693
3;-1.5708;-1.17781;0.392991;1.99915;-1.17814;-1.17781;-0.923895;-0.923768
4;-1.5708;-1.37413;0.196662;1.99831;-1.37447;-1.37413;-0.980789;-0.980724
5;-1.5708;-1.4723;0.0984977;1.99662;-1.47263;-1.4723;-0.995186;-0.995153
6;-1.5708;-1.52138;0.0494155;1.99325;-1.52171;-1.52138;-0.998796;-0.998779
7;-1.5708;-1.54592;0.0248744;1.9866;-1.54626;-1.54592;-0.999699;-0.999691
8;-1.5708;-1.55819;0.0126039;1.97355;-1.55853;-1.55819;-0.999925;-0.999921
9;-1.5708;-1.56433;0.00646861;1.94847;-1.56466;-1.56433;-0.999981;-0.999979
10;-1.5708;-1.5674;0.00340097;1.90199;-1.56773;-1.5674;-0.999995;-0.999994
11;-1.5708;-1.56893;0.00186715;1.82147;-1.56926;-1.56893;-0.999999;-0.999998
12;-1.5708;-1.5697;0.00110024;1.69704;-1.57003;-1.5697;-1;-0.999999
13;-1.5708;-1.57008;0.000716788;1.53496;-1.57041;-1.57008;-1;-1

0.0001
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;1.66667e-05;1.57081;1.99998;-1.66667e-05;1.66667e-05;-1.66667e-05;1.66667e-05
2;-1.5708;-0.785373;0.785423;1.99996;-0.785406;-0.785373;-0.707113;-0.707089
3;-1.5708;-1.17807;0.392728;1.99992;-1.1781;-1.17807;-0.923881;-0.923868
4;-1.5708;-1.37442;0.196381;1.99983;-1.37445;-1.37442;-0.980786;-0.980779
5;-1.5708;-1.47259;0.0982071;1.99966;-1.47262;-1.47259;-0.995185;-0.995182
6;-1.5708;-1.52168;0.0491202;1.99932;-1.52171;-1.52168;-0.998795;-0.998794
7;-1.5708;-1.54622;0.0245768;1.99864;-1.54625;-1.54622;-0.999699;-0.999698
8;-1.5708;-1.55849;0.012305;1.99729;-1.55852;-1.55849;-0.999925;-0.999924
9;-1.5708;-1.56463;0.00616919;1.9946;-1.56466;-1.56463;-0.999981;-0.999981
10;-1.5708;-1.5677;0.00310126;1.98925;-1.56773;-1.5677;-0.999995;-0.999995
11;-1.5708;-1.56923;0.0015673;1.97873;-1.56926;-1.56923;-0.999999;-0.999999
12;-1.5708;-1.57;0.000800316;1.95835;-1.57003;-1.57;-1;-1
13;-1.5708;-1.57038;0.000416824;1.92003;-1.57041;-1.57038;-1;-1
14;-1.5708;-1.57057;0.000225079;1.8519;-1.5706;-1.57057;-1;-1
15;-1.5708;-1.57067;0.000129206;1.74201;-1.5707;-1.57067;-1;-1
16;-1.5708;-1.57072;8.12697e-05;1.58984;-1.57075;-1.57072;-1;-1

1e-05
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;1.66667e-06;1.5708;2;-1.66667e-06;1.66667e-06;-1.66667e-06;1.66667e-06
2;-1.5708;-0.785396;0.785401;2;-0.785399;-0.785396;-0.707107;-0.707105
3;-1.5708;-1.17809;0.392702;1.99999;-1.1781;-1.17809;-0.92388;-0.923878
4;-1.5708;-1.37444;0.196353;1.99998;-1.37445;-1.37444;-0.980785;-0.980785
5;-1.5708;-1.47262;0.098178;1.99997;-1.47262;-1.47262;-0.995185;-0.995184
6;-1.5708;-1.52171;0.0490907;1.99993;-1.52171;-1.52171;-0.998795;-0.998795
7;-1.5708;-1.54625;0.024547;1.99986;-1.54625;-1.54625;-0.999699;-0.999699
8;-1.5708;-1.55852;0.0122752;1.99973;-1.55852;-1.55852;-0.999925;-0.999925
9;-1.5708;-1.56466;0.00613925;1.99946;-1.56466;-1.56466;-0.999981;-0.999981
10;-1.5708;-1.56773;0.00307129;1.99891;-1.56773;-1.56773;-0.999995;-0.999995
11;-1.5708;-1.56926;0.00153731;1.99783;-1.56926;-1.56926;-0.999999;-0.999999
12;-1.5708;-1.57003;0.000770323;1.99567;-1.57003;-1.57003;-1;-1
13;-1.5708;-1.57041;0.000386828;1.99138;-1.57041;-1.57041;-1;-1
14;-1.5708;-1.5706;0.000195081;1.98291;-1.5706;-1.5706;-1;-1
15;-1.5708;-1.5707;9.9207e-05;1.9664;-1.5707;-1.5707;-1;-1
16;-1.5708;-1.57075;5.12702e-05;1.93498;-1.57075;-1.57075;-1;-1
17;-1.5708;-1.57077;2.73018e-05;1.87791;-1.57077;-1.57077;-1;-1
18;-1.5708;-1.57078;1.53175e-05;1.78238;-1.57078;-1.57078;-1;-1
19;-1.5708;-1.57079;9.32544e-06;1.64255;-1.57079;-1.57079;-1;-1

1e-06
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;1.66667e-07;1.5708;2;-1.66667e-07;1.66667e-07;-1.66667e-07;1.66667e-07
2;-1.5708;-0.785398;0.785398;2;-0.785398;-0.785398;-0.707107;-0.707107
3;-1.5708;-1.1781;0.392699;2;-1.1781;-1.1781;-0.92388;-0.923879
