0.1
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;0.370815;1.94161;1.61803;-0.829167;-0.370815;-0.737369;-0.362375
2;-1.5708;-0.370815;1.19998;1.61803;-1.11244;-0.829167;-0.896783;-0.737369
3;-1.5708;-0.829167;0.741629;1.61803;-1.28752;-1.11244;-0.960145;-0.896783
4;-1.5708;-1.11244;0.458352;1.61803;-1.39572;-1.28752;-0.984713;-0.960145
5;-1.5708;-1.28752;0.283277;1.61803;-1.46259;-1.39572;-0.994152;-0.984713
6;-1.5708;-1.39572;0.175075;1.61803;-1.50392;-1.46259;-0.997765;-0.994152
7;-1.5708;-1.46259;0.108202;1.61803;-1.52947;-1.50392;-0.999146;-0.997765
8;-1.5708;-1.50392;0.0668727;1.61803;-1.54525;-1.52947;-0.999674;-0.999146

0.01
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;0.370815;1.94161;1.61803;-0.829167;-0.370815;-0.737369;-0.362375
2;-1.5708;-0.370815;1.19998;1.61803;-1.11244;-0.829167;-0.896783;-0.737369
3;-1.5708;-0.829167;0.741629;1.61803;-1.28752;-1.11244;-0.960145;-0.896783
4;-1.5708;-1.11244;0.458352;1.61803;-1.39572;-1.28752;-0.984713;-0.960145
5;-1.5708;-1.28752;0.283277;1.61803;-1.46259;-1.39572;-0.994152;-0.984713
6;-1.5708;-1.39572;0.175075;1.61803;-1.50392;-1.46259;-0.997765;-0.994152
7;-1.5708;-1.46259;0.108202;1.61803;-1.52947;-1.50392;-0.999146;-0.997765
8;-1.5708;-1.50392;0.0668727;1.61803;-1.54525;-1.52947;-0.999674;-0.999146
9;-1.5708;-1.52947;0.0413296;1.61803;-1.55501;-1.54525;-0.999875;-0.999674
10;-1.5708;-1.54525;0.0255431;1.61803;-1.56104;-1.55501;-0.999952;-0.999875
11;-1.5708;-1.55501;0.0157865;1.61803;-1.56477;-1.56104;-0.999982;-0.999952
12;-1.5708;-1.56104;0.00975659;1.61803;-1.56707;-1.56477;-0.999993;-0.999982

0.001
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;0.370815;1.94161;1.61803;-0.829167;-0.370815;-0.737369;-0.362375
2;-1.5708;-0.370815;1.19998;1.61803;-1.11244;-0.829167;-0.896783;-0.737369
3;-1.5708;-0.829167;0.741629;1.61803;-1.28752;-1.11244;-0.960145;-0.896783
4;-1.5708;-1.11244;0.458352;1.61803;-1.39572;-1.28752;-0.984713;-0.960145
5;-1.5708;-1.28752;0.283277;1.61803;-1.46259;-1.39572;-0.994152;-0.984713
6;-1.5708;-1.39572;0.175075;1.61803;-1.50392;-1.46259;-0.997765;-0.994152
7;-1.5708;-1.46259;0.108202;1.61803;-1.52947;-1.50392;-0.999146;-0.997765
8;-1.5708;-1.50392;0.0668727;1.61803;-1.54525;-1.52947;-0.999674;-0.999146
9;-1.5708;-1.52947;0.0413296;1.61803;-1.55501;-1.54525;-0.999875;-0.999674
10;-1.5708;-1.54525;0.0255431;1.61803;-1.56104;-1.55501;-0.999952;-0.999875
11;-1.5708;-1.55501;0.0157865;1.61803;-1.56477;-1.56104;-0.999982;-0.999952
12;-1.5708;-1.56104;0.00975659;1.61803;-1.56707;-1.56477;-0.999993;-0.999982
13;-1.5708;-1.56477;0.00602991;1.61803;-1.56849;-1.56707;-0.999997;-0.999993
14;-1.5708;-1.56707;0.00372669;1.61803;-1.56937;-1.56849;-0.999999;-0.999997
15;-1.5708;-1.56849;0.00230322;1.61803;-1.56992;-1.56937;-1;-0.999999
16;-1.5708;-1.56937;0.00142347;1.61803;-1.57025;-1.56992;-1;-1
17;-1.5708;-1.56992;0.000879751;1.61803;-1.57046;-1.57025;-1;-1

0.0001
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;0.370815;1.94161;1.61803;-0.829167;-0.370815;-0.737369;-0.362375
2;-1.5708;-0.370815;1.19998;1.61803;-1.11244;-0.829167;-0.896783;-0.737369
3;-1.5708;-0.829167;0.741629;1.61803;-1.28752;-1.11244;-0.960145;-0.896783
4;-1.5708;-1.11244;0.458352;1.61803;-1.39572;-1.28752;-0.984713;-0.960145
5;-1.5708;-1.28752;0.283277;1.61803;-1.46259;-1.39572;-0.994152;-0.984713
6;-1.5708;-1.39572;0.175075;1.61803;-1.50392;-1.46259;-0.997765;-0.994152
7;-1.5708;-1.46259;0.108202;1.61803;-1.52947;-1.50392;-0.999146;-0.997765
8;-1.5708;-1.50392;0.0668727;1.61803;-1.54525;-1.52947;-0.999674;-0.999146
9;-1.5708;-1.52947;0.0413296;1.61803;-1.55501;-1.54525;-0.999875;-0.999674
