G1; r(k) = 1.3 * r(k - 1); r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;35;2268;(1.0044,0.904405);1.04121
(1,2);1.3;1e-05;37;2416;(0.704151,0.574151);1.76372
(1,2);1.69;1e-05;14;1114;(0.581776,0.418223);2.14511
(1,2);2.197;1e-05;10;795;(0.564923,0.435076);2.14375
(1,2);2.8561;1e-05;6;489;(0.549959,0.450039);2.15254
(1,2);3.71293;1e-05;4;342;(0.547845,0.452154);2.15454
(1,2);4.82681;1e-05;5;393;(0.504,0.495999);2.23834
(1,2);6.27485;1e-05;4;316;(0.531999,0.468);2.17551
(1,2);8.15731;1e-05;3;225;(0.561731,0.438268);2.14483
(1,2);10.6045;1e-05;5;376;(0.622292,0.377707);2.19719
(1,2);13.7858;1e-05;6;431;(0.584001,0.415998);2.14618
(1,2);17.9216;1e-05;2;152;(0.506532,0.493466);2.2313
(1,2);23.2981;1e-05;5;405;(0.596492,0.403508);2.15605
(1,2);30.2875;1e-05;5;404;(0.499999,0.499999);2.25
(1,2);39.3738;1e-05;7;551;(0.597998,0.401998);2.15769


G2;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;12;800;(0.846575,0.73105);1.39712
(1,2);1.3;1e-05;9;620;(0.792738,0.671926);1.53046
(1,2);1.69;1e-05;9;609;(0.747916,0.622661);1.64616
(1,2);2.197;1e-05;8;574;(0.71114,0.582232);1.74425
(1,2);2.8561;1e-05;5;363;(0.681412,0.549507);1.82567
(1,2);3.71293;1e-05;6;414;(0.65752,0.523269);1.89237
(1,2);4.82681;1e-05;5;337;(0.638584,0.502442);1.94613
(1,2);6.27485;1e-05;5;321;(0.623633,0.48602);1.98907
(1,2);8.15731;1e-05;5;324;(0.61175,0.473183);2.02324
(1,2);10.6045;1e-05;5;391;(0.602473,0.463195);2.05007
(1,2);13.7858;1e-05;8;573;(0.595508,0.455331);2.07084
(1,2);17.9216;1e-05;10;687;(0.589853,0.449346);2.08723
(1,2);23.2981;1e-05;11;742;(0.585098,0.444973);2.10012
(1,2);30.2875;1e-05;13;839;(0.582055,0.441198);2.10977
(1,2);39.3738;1e-05;12;778;(0.578954,0.438838);2.11753


G3;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;5;356;(0.882239,0.770827);1.31145
(1,2);1.3;1e-05;7;475;(0.858116,0.744286);1.36868
(1,2);1.69;1e-05;6;427;(0.835928,0.719866);1.42242
(1,2);2.197;1e-05;7;466;(0.815468,0.697114);1.47315
(1,2);2.8561;1e-05;6;475;(0.796328,0.675899);1.52134
(1,2);3.71293;1e-05;7;520;(0.778486,0.656187);1.56688
(1,2);4.82681;1e-05;8;587;(0.761681,0.638213);1.60966
(1,2);6.27485;1e-05;6;487;(0.746781,0.620964);1.64971
(1,2);8.15731;1e-05;7;531;(0.732691,0.605963);1.68637
(1,2);10.6045;1e-05;7;528;(0.719217,0.59171);1.72169
(1,2);13.7858;1e-05;7;538;(0.707765,0.577998);1.75407
(1,2);17.9216;1e-05;7;534;(0.696673,0.566145);1.78385
(1,2);23.2981;1e-05;7;533;(0.686469,0.555043);1.81173
(1,2);30.2875;1e-05;8;575;(0.677181,0.544372);1.83804
(1,2);39.3738;1e-05;8;617;(0.668001,0.535422);1.86211
