H1;r(k) = 1.3 * r(k - 1);r0 = 0.1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);0.1;1e-05;21;1172;(1.90437,1.89437);0.00964442
(1,2);0.13;1e-05;22;1254;(1.87426,1.86126);0.0166558
(1,2);0.169;1e-05;24;1382;(1.83548,1.81858);0.0284945
(1,2);0.2197;1e-05;26;1524;(1.78434,1.76237);0.0489211
(1,2);0.28561;1e-05;27;1617;(1.71867,1.69011);0.0832236
(1,2);0.371293;1e-05;29;1751;(1.63337,1.59624);0.141313
(1,2);0.482681;1e-05;31;1907;(1.52183,1.47356);0.240299
(1,2);0.627485;1e-05;32;2000;(1.37713,1.31439);0.407649
(1,2);0.815731;1e-05;34;2162;(1.18849,1.10691);0.691822
(1,2);1.06045;1e-05;35;2272;(0.943822,0.837777);1.17174
(1,2);1.37858;1e-05;37;2442;(0.625736,0.487877);1.98363
(1,2);1.79216;1e-05;39;2604;(0.212437,0.0332211);3.35597
(1,2);2.32981;1e-05;13;1068;(0.0896442,-0.089645);3.81018
(1,2);3.02875;1e-05;7;611;(0.0992708,-0.0992714);3.80987
(1,2);3.93738;1e-05;5;440;(0.102467,-0.102468);3.81062


H1;r(k) = 1.3 * r(k - 1);r0 = 3
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);3;1e-05;8;669;(0.102056,-0.102057);3.8105
(1,2);3.9;1e-05;5;440;(0.113889,-0.113889);3.81683
(1,2);5.07;1e-05;5;417;(0.016999,-0.0170003);3.93807
(1,2);6.591;1e-05;5;395;(0.075084,-0.0750848);3.81806
(1,2);8.5683;1e-05;4;316;(0.112829,-0.112831);3.81603
(1,2);11.1388;1e-05;3;218;(0.0459993,-0.0460005);3.86044
(1,2);14.4804;1e-05;3;244;(0.283298,-0.283299);4.55223
(1,2);18.8246;1e-05;3;224;(0.0459992,-0.0460005);3.86044
(1,2);24.4719;1e-05;2;156;(-0.0220001,0.0219994);4.09816
(1,2);31.8135;1e-05;4;299;(-0.911125,0.911124);25.0776
(1,2);41.3575;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);53.7648;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);69.8943;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);90.8625;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);118.121;1e-05;2;156;(-1.046,1.046);31.1604


H1;r(k) = 1.3 * r(k - 1);r0 = 20
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);20;1e-05;3;224;(0.0459992,-0.0460005);3.86044
(1,2);26;1e-05;2;156;(-0.0220001,0.0219994);4.09816
(1,2);33.8;1e-05;4;288;(-0.944666,0.944665);26.5189
(1,2);43.94;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);57.122;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);74.2586;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);96.5362;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);125.497;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);163.146;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);212.09;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);275.717;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);358.432;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);465.962;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);605.75;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);787.475;1e-05;2;156;(-1.046,1.046);31.1604
