H1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-10,15);1;1e-05;46;3355;(1.0043,0.904299);1.04142
(-10,15);1.3;1e-05;46;3375;(0.704649,0.574649);1.76243
(-10,15);1.69;1e-05;47;3447;(0.314585,0.145586);2.98343
(-10,15);2.197;1e-05;23;2036;(0.0950221,-0.095023);3.80953
(-10,15);2.8561;1e-05;17;1562;(0.0674952,-0.0674959);3.82569
(-10,15);3.71293;1e-05;13;1242;(0.107876,-0.107877);3.81288
(-10,15);4.82681;1e-05;12;1097;(0.113063,-0.113065);3.8162
(-10,15);6.27485;1e-05;11;999;(0.149695,-0.149696);3.8718
(-10,15);8.15731;1e-05;7;711;(-0.0505854,0.0505846);4.25608
(-10,15);10.6045;1e-05;7;696;(-0.116373,0.116372);4.74989
(-10,15);13.7858;1e-05;6;615;(-0.255487,0.255486);6.39268
(-10,15);17.9216;1e-05;6;580;(-0.166708,0.166707);5.25045
(-10,15);23.2981;1e-05;7;628;(-0.402002,0.402001);9.00172
(-10,15);30.2875;1e-05;5;485;(-0.670002,0.67);16.1069
(-10,15);39.3738;1e-05;3;300;(-0.910628,0.910627);25.0566


H1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(2,2);1;1e-05;35;2254;(1.00441,0.904405);1.04121
(2,2);1.3;1e-05;37;2405;(0.704151,0.57415);1.76373
(2,2);1.69;1e-05;38;2535;(0.314247,0.145247);2.98457
(2,2);2.197;1e-05;15;1220;(0.103495,-0.103495);3.81096
(2,2);2.8561;1e-05;9;758;(0.0757146,-0.0757156);3.81753
(2,2);3.71293;1e-05;8;645;(0.0975911,-0.0975919);3.80964
(2,2);4.82681;1e-05;7;547;(0.0369131,-0.0369143);3.88096
(2,2);6.27485;1e-05;4;346;(0.11543,-0.11543);3.81809
(2,2);8.15731;1e-05;4;327;(0.0439986,-0.0440002);3.86466
(2,2);10.6045;1e-05;4;310;(0.0701569,-0.0701583);3.82274
(2,2);13.7858;1e-05;3;232;(0.0459991,-0.0460005);3.86044
(2,2);17.9216;1e-05;3;232;(0.0459991,-0.0460005);3.86044
(2,2);23.2981;1e-05;3;214;(0.0459992,-0.0460005);3.86044
(2,2);30.2875;1e-05;2;159;(-0.046,0.0459993);4.22844
(2,2);39.3738;1e-05;2;159;(-0.046,0.0459993);4.22844


H1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(0.05,0.2);1;1e-05;33;2062;(0.995344,0.895343);1.05933
(0.05,0.2);1.3;1e-05;29;1769;(0.695702,0.565702);1.78569
(0.05,0.2);1.69;1e-05;3;182;(0.306666,0.137666);3.01019
(0.05,0.2);2.197;1e-05;7;472;(0.103699,-0.1037);3.81103
(0.05,0.2);2.8561;1e-05;5;340;(0.0999925,-0.0999934);3.81
(0.05,0.2);3.71293;1e-05;3;200;(0.0539995,-0.0540005);3.84524
(0.05,0.2);4.82681;1e-05;3;200;(0.0677658,-0.0677665);3.82537
(0.05,0.2);6.27485;1e-05;2;132;(-0.012,0.0119991);4.05102
(0.05,0.2);8.15731;1e-05;2;131;(-0.076,0.0759987);4.42529
(0.05,0.2);10.6045;1e-05;2;116;(-0.2,0.199999);5.64
(0.05,0.2);13.7858;1e-05;2;116;(-0.2,0.199999);5.64
(0.05,0.2);17.9216;1e-05;2;116;(-0.2,0.199999);5.64
(0.05,0.2);23.2981;1e-05;2;116;(-0.2,0.199999);5.64
(0.05,0.2);30.2875;1e-05;2;116;(-0.2,0.199999);5.64
(0.05,0.2);39.3738;1e-05;2;116;(-0.2,0.199999);5.64
