J1;r(k) = 0.8 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);1;1e-05;11;854;(0.214935,0.0362734);3.34606
(-1,-2);0.8;1e-05;10;784;(0.249329,0.0744035);3.21784
(-1,-2);0.64;1e-05;10;796;(0.280347,0.108819);3.10432
(-1,-2);0.512;1e-05;11;857;(0.309132,0.140253);3.00163
(-1,-2);0.4096;1e-05;9;744;(0.334685,0.168642);2.91113
(-1,-2);0.32768;1e-05;12;896;(0.35859,0.194019);2.82964
(-1,-2);0.262144;1e-05;9;726;(0.379669,0.21762);2.75677
(-1,-2);0.209715;1e-05;10;774;(0.399063,0.238711);2.69156
(-1,-2);0.167772;1e-05;9;730;(0.416429,0.257853);2.63343
(-1,-2);0.134218;1e-05;10;783;(0.432102,0.275314);2.58122
(-1,-2);0.107374;1e-05;11;833;(0.446238,0.290872);2.53487
(-1,-2);0.0858993;1e-05;9;742;(0.459065,0.304892);2.49333
(-1,-2);0.0687195;1e-05;10;791;(0.470538,0.317269);2.45671
(-1,-2);0.0549756;1e-05;9;739;(0.480933,0.328493);2.42375
(-1,-2);0.0439805;1e-05;9;745;(0.490107,0.339185);2.39366


J2;r(k) = 0.8 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);1;1e-05;14;1040;(0.291973,0.121483);3.06269
(-1,-2);0.8;1e-05;13;994;(0.341355,0.175703);2.8883
(-1,-2);0.64;1e-05;12;940;(0.382616,0.221111);2.74635
(-1,-2);0.512;1e-05;13;987;(0.41693,0.258959);2.63088
(-1,-2);0.4096;1e-05;12;933;(0.445849,0.290201);2.53652
(-1,-2);0.32768;1e-05;11;883;(0.46935,0.316404);2.45985
(-1,-2);0.262144;1e-05;10;804;(0.488817,0.337609);2.39799
(-1,-2);0.209715;1e-05;9;749;(0.504645,0.35511);2.34789
(-1,-2);0.167772;1e-05;9;743;(0.517601,0.369283);2.3075
(-1,-2);0.134218;1e-05;10;789;(0.528061,0.380568);2.27538
(-1,-2);0.107374;1e-05;9;743;(0.536361,0.390183);2.24908
(-1,-2);0.0858993;1e-05;10;795;(0.543206,0.397741);2.22805
(-1,-2);0.0687195;1e-05;11;845;(0.548653,0.403879);2.2112
(-1,-2);0.0549756;1e-05;12;895;(0.553005,0.408856);2.19769
(-1,-2);0.0439805;1e-05;13;943;(0.556479,0.41289);2.18684
