J2;r(k) = 0.8 * r(k - 1);r0 = 0.1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);0.1;1e-05;9;743;(0.538274,0.392925);2.24227
(-1,-2);0.08;1e-05;10;795;(0.544981,0.399883);2.22235
(-1,-2);0.064;1e-05;11;845;(0.550058,0.405629);2.20663
(-1,-2);0.0512;1e-05;12;895;(0.554066,0.410316);2.19405
(-1,-2);0.04096;1e-05;13;945;(0.557268,0.414118);2.18394
(-1,-2);0.032768;1e-05;14;995;(0.559835,0.417192);2.17581
(-1,-2);0.0262144;1e-05;14;1001;(0.561849,0.419708);2.1693
(-1,-2);0.0209715;1e-05;15;1047;(0.563129,0.422009);2.16417
(-1,-2);0.0167772;1e-05;16;1095;(0.564258,0.423797);2.16
(-1,-2);0.0134218;1e-05;18;1187;(0.565325,0.425102);2.1566
(-1,-2);0.0107374;1e-05;19;1233;(0.565523,0.426739);2.15403
(-1,-2);0.00858993;1e-05;20;1279;(0.565857,0.427915);2.15191
(-1,-2);0.00687195;1e-05;13;932;(0.565289,0.429644);2.15039
(-1,-2);0.00549756;1e-05;13;930;(0.5649,0.430993);2.14917
(-1,-2);0.00439805;1e-05;12;884;(0.563953,0.432695);2.14837


J2;r(k) = 0.8 * r(k - 1);r0 = 3
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);3;1e-05;15;1078;(-0.107548,-0.317994);4.6632
(-1,-2);2.4;1e-05;16;1162;(-0.000778519,-0.200556);4.20267
(-1,-2);1.92;1e-05;16;1142;(0.091862,-0.0991563);3.82343
(-1,-2);1.536;1e-05;14;1038;(0.171093,-0.0120372);3.51258
(-1,-2);1.2288;1e-05;14;1037;(0.238653,0.0627563);3.25704
(-1,-2);0.98304;1e-05;13;989;(0.295969,0.125924);3.0483
(-1,-2);0.786432;1e-05;13;994;(0.344743,0.179456);2.87647
(-1,-2);0.629146;1e-05;12;939;(0.385691,0.224035);2.73666
(-1,-2);0.503316;1e-05;11;885;(0.419697,0.261525);2.62245
(-1,-2);0.402653;1e-05;11;885;(0.447835,0.29242);2.52999
(-1,-2);0.322123;1e-05;11;883;(0.470989,0.318192);2.45461
(-1,-2);0.257698;1e-05;10;804;(0.490149,0.339099);2.39373
(-1,-2);0.206158;1e-05;9;749;(0.505729,0.356303);2.34448
(-1,-2);0.164927;1e-05;9;743;(0.518468,0.369887);2.30532
(-1,-2);0.131941;1e-05;10;789;(0.52878,0.381348);2.27317


J2;r(k) = 0.8 * r(k - 1);r0 = 20
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);20;1e-05;16;1025;(-1.88063,-2.26901);15.8135
(-1,-2);16;1e-05;11;639;(-1.5645,-1.92119);13.3418
(-1,-2);12.8;1e-05;14;883;(-1.28558,-1.61384);11.3338
(-1,-2);10.24;1e-05;15;1001;(-1.03636,-1.33968);9.67949
(-1,-2);8.192;1e-05;16;1093;(-0.815588,-1.09686);8.32311
(-1,-2);6.5536;1e-05;17;1156;(-0.620661,-0.882476);7.2106
(-1,-2);5.24288;1e-05;17;1182;(-0.448978,-0.694135);6.298
(-1,-2);4.1943;1e-05;16;1144;(-0.298822,-0.528371);5.54805
(-1,-2);3.35544;1e-05;15;1088;(-0.166975,-0.383403);4.92999
(-1,-2);2.68435;1e-05;16;1144;(-0.0521317,-0.257605);4.42234
(-1,-2);2.14748;1e-05;15;1099;(0.0472473,-0.148257);4.00435
(-1,-2);1.71799;1e-05;15;1110;(0.132743,-0.054283);3.66154
(-1,-2);1.37439;1e-05;13;986;(0.206082,0.0268968);3.37868
(-1,-2);1.09951;1e-05;13;993;(0.268579,0.0956401);3.14736
(-1,-2);0.879609;1e-05;13;991;(0.321567,0.153422);2.9585
