J2;r(k) = 0.8 * r(k - 1);r0 = 1;;;;
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);1;0.001;10;838;(0.282378,0.11437);3.09136
(-1,-2);0.8;0.001;11;900;(0.340039,0.175058);2.89156
(-1,-2);0.64;0.001;10;840;(0.37614,0.218324);2.76145
(-1,-2);0.512;0.001;10;843;(0.414382,0.255656);2.64015
(-1,-2);0.4096;0.001;10;839;(0.444723,0.290202);2.53827
(-1,-2);0.32768;0.001;10;837;(0.46935,0.316404);2.45985
(-1,-2);0.262144;0.001;9;758;(0.488818,0.337609);2.39799
(-1,-2);0.209715;0.001;8;703;(0.503758,0.355136);2.34918
(-1,-2);0.167772;0.001;8;697;(0.517823,0.368768);2.30793
(-1,-2);0.134218;0.001;8;697;(0.529016,0.380569);2.27398
(-1,-2);0.107374;0.001;8;697;(0.536362,0.390184);2.24908
(-1,-2);0.0858993;0.001;8;703;(0.542514,0.398033);2.22864
(-1,-2);0.0687195;0.001;8;703;(0.546748,0.40563);2.21151
(-1,-2);0.0549756;0.001;9;753;(0.550721,0.410428);2.19882
(-1,-2);0.0439805;0.001;9;753;(0.552304,0.416245);2.18838
;;;;;;
;;;;;;
J2;r(k) = 0.8 * r(k - 1);r0 = 1;;;;
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);1;1.00E-05;14;1040;(0.291973,0.121483);3.06269
(-1,-2);0.8;1.00E-05;13;994;(0.341355,0.175703);2.8883
(-1,-2);0.64;1.00E-05;12;940;(0.382616,0.221111);2.74635
(-1,-2);0.512;1.00E-05;13;987;(0.41693,0.258959);2.63088
(-1,-2);0.4096;1.00E-05;12;933;(0.445849,0.290201);2.53652
(-1,-2);0.32768;1.00E-05;11;883;(0.46935,0.316404);2.45985
(-1,-2);0.262144;1.00E-05;10;804;(0.488817,0.337609);2.39799
(-1,-2);0.209715;1.00E-05;9;749;(0.504645,0.35511);2.34789
(-1,-2);0.167772;1.00E-05;9;743;(0.517601,0.369283);2.3075
(-1,-2);0.134218;1.00E-05;10;789;(0.528061,0.380568);2.27538
(-1,-2);0.107374;1.00E-05;9;743;(0.536361,0.390183);2.24908
(-1,-2);0.0858993;1.00E-05;10;795;(0.543206,0.397741);2.22805
(-1,-2);0.0687195;1.00E-05;11;845;(0.548653,0.403879);2.2112
(-1,-2);0.0549756;1.00E-05;12;895;(0.553005,0.408856);2.19769
(-1,-2);0.0439805;1.00E-05;13;943;(0.556479,0.41289);2.18684
;;;;;;
;;;;;;
J2;r(k) = 0.8 * r(k - 1);r0 = 1;;;;
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);1;1.00E-06;14;1040;(0.291973,0.121483);3.06269
(-1,-2);0.8;1.00E-06;13;994;(0.341355,0.175703);2.8883
(-1,-2);0.64;1.00E-06;13;986;(0.382615,0.22111);2.74635
(-1,-2);0.512;1.00E-06;13;987;(0.41693,0.258959);2.63088
(-1,-2);0.4096;1.00E-06;12;933;(0.445849,0.290201);2.53652
(-1,-2);0.32768;1.00E-06;11;883;(0.46935,0.316404);2.45985
(-1,-2);0.262144;1.00E-06;10;804;(0.488817,0.337609);2.39799
(-1,-2);0.209715;1.00E-06;10;795;(0.504644,0.355109);2.34789
(-1,-2);0.167772;1.00E-06;10;789;(0.517539,0.369282);2.30759
(-1,-2);0.134218;1.00E-06;10;789;(0.528061,0.380568);2.27538
(-1,-2);0.107374;1.00E-06;9;743;(0.536361,0.390183);2.24908
(-1,-2);0.0858993;1.00E-06;10;795;(0.543206,0.397741);2.22805
(-1,-2);0.0687195;1.00E-06;11;845;(0.548653,0.403879);2.2112
(-1,-2);0.0549756;1.00E-06;12;895;(0.553005,0.408856);2.19769
(-1,-2);0.0439805;1.00E-06;13;943;(0.556479,0.41289);2.18684
