G1; r(k) = 1.3 * r(k - 1); r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;35;2268;(1.0044,0.904405);1.04121
(1,2);1.3;1e-05;37;2416;(0.704151,0.574151);1.76372
(1,2);1.69;1e-05;14;1114;(0.581776,0.418223);2.14511
(1,2);2.197;1e-05;10;795;(0.564923,0.435076);2.14375
(1,2);2.8561;1e-05;6;489;(0.549959,0.450039);2.15254
(1,2);3.71293;1e-05;4;342;(0.547845,0.452154);2.15454
(1,2);4.82681;1e-05;5;393;(0.504,0.495999);2.23834
(1,2);6.27485;1e-05;4;316;(0.531999,0.468);2.17551
(1,2);8.15731;1e-05;3;225;(0.561731,0.438268);2.14483
(1,2);10.6045;1e-05;5;376;(0.622292,0.377707);2.19719
(1,2);13.7858;1e-05;6;431;(0.584001,0.415998);2.14618
(1,2);17.9216;1e-05;2;152;(0.506532,0.493466);2.2313
(1,2);23.2981;1e-05;5;405;(0.596492,0.403508);2.15605
(1,2);30.2875;1e-05;5;404;(0.499999,0.499999);2.25
(1,2);39.3738;1e-05;7;551;(0.597998,0.401998);2.15769


G1;r(k) = r(k - 1) + 10;r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;35;2268;(1.0044,0.904405);1.04121
(1,2);11;1e-05;3;240;(0.552,0.447999);2.15079
(1,2);21;1e-05;3;213;(0.504,0.495999);2.23834
(1,2);31;1e-05;5;404;(0.499999,0.499999);2.25
(1,2);41;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);51;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);61;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);71;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);81;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);91;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);101;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);111;1e-05;7;551;(0.597998,0.401998);2.15769
(1,2);121;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);131;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);141;1e-05;7;551;(0.597997,0.401998);2.15769


G1;r(k) = r(k - 1) * r(k - 1) + 0.03;r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;35;2268;(1.0044,0.904405);1.04121
(1,2);1.03;1e-05;35;2274;(0.974689,0.871689);1.10431
(1,2);1.0909;1e-05;35;2278;(0.913354,0.804264);1.2403
(1,2);1.22006;1e-05;37;2414;(0.784272,0.662266);1.55242
(1,2);1.51855;1e-05;20;1514;(0.575331,0.424668);2.14318
(1,2);2.336;1e-05;8;676;(0.559869,0.44013);2.14566
(1,2);5.48691;1e-05;5;379;(0.563091,0.436908);2.14432
(1,2);30.1362;1e-05;5;404;(0.499999,0.499999);2.25
(1,2);908.223;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);824868;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);6.80408e+11;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);4.62954e+23;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);2.14327e+47;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);4.5936e+94;1e-05;7;551;(0.597997,0.401998);2.15769
(1,2);2.11012e+189;1e-05;7;551;(0.597997,0.401998);2.15769
