eps;P;N;(x, y);f(x, y);time
1;0.1;42;(-8.41609,-3.65772);-5.13995;0.0010597
1;0.3;142;(-9.34714,-1.69394);-5.38415;4.11e-05
1;0.5;276;(-8.77596,-2.75909);-7.67415;8.03e-05
1;0.7;480;(-8.55715,-2.96091);-7.10642;0.0001352
1;0.9;919;(-9.31625,-3.0163);-7.66687;0.00032
0.5;0.1;168;(-9.73856,-0.894429);-6.01852;4.85e-05
0.5;0.3;570;(-9.15913,-2.36313);-6.65536;0.0001622
0.5;0.5;1108;(-9.05681,-3.06062);-8.21747;0.0003594
0.5;0.7;1925;(-8.71313,-2.4854);-6.66073;0.000741
0.5;0.9;3682;(-8.94928,-3.05347);-8.22361;0.0010436
0.1;0.1;4214;(-8.90977,-3.0012);-8.2222;0.0011977
0.1;0.3;14266;(-8.91877,-2.97061);-8.24001;0.0040779
0.1;0.5;27725;(-8.94866,-2.95489);-8.26916;0.0078423
0.1;0.7;48158;(-8.97758,-2.96384);-8.28835;0.0136517
0.1;0.9;92102;(-8.97089,-2.94951);-8.2829;0.0265281
0.05;0.1;16857;(-9.00846,-2.98183);-8.29341;0.0047687
0.05;0.3;57067;(-9.02096,-2.93615);-8.28726;0.0160637
0.05;0.5;110903;(-9.03458,-2.99403);-8.28464;0.0313247
0.05;0.7;192635;(-9.00093,-2.956);-8.29357;0.0541817
0.05;0.9;368412;(-9.01095,-2.94885);-8.29245;0.103849
0.01;0.1;421442;(-9.00597,-2.95161);-8.29309;0.118722
0.01;0.3;1426699;(-9.01279,-2.96641);-8.29462;0.403712
0.01;0.5;2772588;(-9.00875,-2.97366);-8.29454;0.781019
0.01;0.7;4815890;(-9.00457,-2.96613);-8.29473;1.36008
0.01;0.9;9210339;(-9.00315,-2.96593);-8.29465;2.59478
0.005;0.1;1685768;(-9.01457,-2.96915);-8.29445;0.473478
0.005;0.3;5706798;(-9.00648,-2.97006);-8.29475;1.60638
0.005;0.5;11090354;(-9.01012,-2.96689);-8.29476;3.12315
0.005;0.7;19263564;(-9.00684,-2.96663);-8.2948;5.45793
0.005;0.9;36841360;(-9.00786,-2.96826);-8.2948;10.4117
